"id";"team_name";"type"
1;"Atlanta Hawks";"current"
2;"Boston Celtics";"current"
3;"Brooklyn Nets";"current"
4;"Charlotte Hornets";"current"
5;"Chicago Bulls";"current"
6;"Cleveland Cavaliers";"current"
7;"Dallas Mavericks";"current"
8;"Denver Nuggets";"current"
9;"Detroit Pistons";"current"
10;"Golden State Warriors";"current"
11;"Houston Rockets";"current"
12;"Indiana Pacers";"current"
13;"Los Angeles Clippers";"current"
14;"Los Angeles Lakers";"current"
15;"Memphis Grizzlies";"current"
16;"Miami Heat";"current"
17;"Milwaukee Bucks";"current"
18;"Minnesota Timberwolves";"current"
19;"New Orleans Pelicans";"current"
20;"New York Knicks";"current"
21;"Oklahoma City Thunder";"current"
22;"Orlando Magic";"current"
23;"Philadelphia 76ers";"current"
24;"Phoenix Suns";"current"
25;"Portland Trail Blazers";"current"
26;"Sacramento Kings";"current"
27;"San Antonio Spurs";"current"
28;"Toronto Raptors";"current"
29;"Utah Jazz";"current"
30;"Washington Wizards";"current"
31;"2013-14 Indiana Pacers";"classic"
32;"1988-89 Detroit Pistons";"classic"
33;"2003-04 Detroit Pistons";"classic"
34;"1999-00 Toronto Raptors";"classic"
35;"2018-19 Toronto Raptors";"classic"
36;"1993-94 Houston Rockets";"classic"
37;"2007-08 Houston Rockets";"classic"
38;"1990-91 Portland Trail Blazers";"classic"
39;"1999-00 Portland Trail Blazers";"classic"
40;"2009-10 Portland Trail Blazers";"classic"
41;"1997-98 San Antonio Spurs";"classic"
42;"2004-05 San Antonio Spurs";"classic"
43;"2013-14 San Antonio Spurs";"classic"
44;"2002-03 Phoenix Suns";"classic"
45;"2004-05 Phoenix Suns";"classic"
46;"1995-96 Seattle Supersonics";"classic"
47;"2011-12 Oklahoma City Thunder";"classic"
48;"2003-04 Minnesota Timberwolves";"classic"
49;"1990-91 Golden State Warriors";"classic"
50;"2006-07 Golden State Warriors";"classic"
51;"2015-16 Golden State Warriors";"classic"
52;"2016-17 Golden State Warriors";"classic"
53;"2006-07 Washington Wizards";"classic"
54;"2012-13 Miami Heat";"classic"
55;"1992-93 Charlotte Hornets";"classic"
56;"1997-98 Utah Jazz";"classic"
57;"2001-02 Sacramento Kings";"classic"
58;"1971-72 New York Knicks";"classic"
59;"1994-95 New York Knicks";"classic"
60;"1998-99 New York Knicks";"classic"
61;"2011-12 New York Knicks";"classic"
62;"1964-65 Los Angeles Lakers";"classic"
63;"1970-71 Los Angeles Lakers";"classic"
64;"1986-87 Los Angeles Lakers";"classic"
65;"1990-91 Los Angeles Lakers";"classic"
66;"1997-98 Los Angeles Lakers";"classic"
67;"2000-01 Los Angeles Lakers";"classic"
68;"2003-04 Los Angeles Lakers";"classic"
69;"1994-95 Orlando Magic";"classic"
70;"2002-03 Dallas Mavericks";"classic"
71;"2010-11 Dallas Mavericks";"classic"
72;"2001-02 New Jersey Nets";"classic"
73;"1993-94 Denver Nuggets";"classic"
74;"2007-08 Denver Nuggets";"classic"
75;"1976-77 Philadelphia 76ers";"classic"
76;"2000-01 Philadelphia 76ers";"classic"
77;"1970-71 Milwaukee Bucks";"classic"
78;"1984-85 Milwaukee Bucks";"classic"
79;"1985-86 Chicago Bulls";"classic"
80;"1988-89 Chicago Bulls";"classic"
81;"1990-91 Chicago Bulls";"classic"
82;"1992-93 Chicago Bulls";"classic"
83;"1995-96 Chicago Bulls";"classic"
84;"1997-98 Chicago Bulls";"classic"
85;"2010-11 Chicago Bulls";"classic"
86;"1989-90 Cleveland Cavaliers";"classic"
87;"2006-07 Cleveland Cavaliers";"classic"
88;"2015-16 Cleveland Cavaliers";"classic"
89;"1985-86 Boston Celtics";"classic"
90;"2007-08 Boston Celtics";"classic"
91;"2013-14 Los Angeles Clippers";"classic"
92;"2005-06 Memphis Grizzlies";"classic"
93;"2012-13 Memphis Grizzlies";"classic"
94;"1985-86 Atlanta Hawks";"classic"
95;"1996-97 Miami Heat";"classic"
96;"2005-06 Miami Heat";"classic"
